WARNING: for repeatability, setting FPU to use double precision
 -----------------------------------------------------------------------------------------------------------------------
|                                 manysat2.0    4 thread(s) on 8 core(s)                                                |
 -----------------------------------------------------------------------------------------------------------------------
 ===============================================[ Problem Statistics ]==================================================
|                                                                                                                       |
|  Number of cores:                 4                                                                                   |
|  Number of variables:         48258                                                                                   |
|  Number of clauses:          140967                                                                                   |
|  Parse time:                   0.08 s                                                                                 |
|                                                                                                                       |
 ==============================================[ Search Statistics ]====================================================
|   Thread  | Conflicts |          ORIGINAL         |          LEARNT          |  exported  / imported      |  Progress |
|    (id)   |           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |  (clauses by restart)      |           |
 =======================================================================================================================
|         2 |       100 |   48253   140965   328919 |    51687      224      5 |          15  -         125 |  0.010 %  |
|         3 |       100 |   48252   140965   328919 |    51687      296      7 |          18  -         199 |  0.012 %  |
|         0 |       100 |   48251   140965   328919 |    51687      326      6 |          20  -         229 |  0.015 %  |
|         1 |       100 |   48248   140940   328867 |    51687      396      6 |          26  -         301 |  0.021 %  |
|         2 |       250 |   48248   140940   328867 |    56856      629      7 |          26  -         383 |  0.021 %  |
|         3 |       250 |   48248   140940   328867 |    56856      659      7 |          26  -         414 |  0.021 %  |
|         0 |       250 |   48248   140940   328867 |    56855      733      7 |          24  -         489 |  0.021 %  |
|         2 |       475 |   48248   140940   328867 |    62542     1058      8 |          26  -         587 |  0.021 %  |
|         2 |       812 |   48248   140940   328867 |    68796     1454     11 |          26  -         646 |  0.021 %  |
|         3 |       475 |   48248   140940   328867 |    62542     1291      7 |          26  -         821 |  0.021 %  |
|         0 |       475 |   48248   140940   328867 |    62541     1433      7 |          24  -         964 |  0.021 %  |
|         2 |      1318 |   48245   140932   328850 |    75676     2289     10 |          27  -         977 |  0.027 %  |
|         0 |       812 |   48245   140932   328850 |    68795     2116      9 |          24  -        1311 |  0.027 %  |
|         1 |       250 |   48245   140932   328850 |    56856     1792      5 |          27  -        1550 |  0.027 %  |
|         1 |       475 |   48245   140932   328850 |    62542     2053      6 |          27  -        1586 |  0.027 %  |
|         1 |       812 |   48245   140932   328850 |    68796     2407      7 |          27  -        1603 |  0.027 %  |
|         1 |      1318 |   48245   140932   328850 |    75676     2947      9 |          27  -        1637 |  0.027 %  |
|         3 |       812 |   48245   140932   328850 |    68796     2663      7 |          30  -        1858 |  0.027 %  |
|         0 |      1318 |   48241   140929   328844 |    75675     3340      9 |          27  -        2031 |  0.035 %  |
|         0 |      2077 |   48207   140805   328563 |    83242     4176     12 |          27  -        2111 |  0.106 %  |
|         0 |      3216 |   48207   140805   328563 |    91566     5407     13 |          27  -        2203 |  0.106 %  |
|         3 |      1318 |   48207   140805   328563 |    75676     4353      8 |          54  -        3043 |  0.106 %  |
|         3 |      2077 |   48207   140805   328563 |    83243     5186      9 |          54  -        3117 |  0.106 %  |
|         3 |      3216 |   48204   140797   328546 |    91568     6389     12 |          71  -        3184 |  0.112 %  |
|         1 |      2077 |   48204   140797   328546 |    83243     6035      9 |          68  -        3970 |  0.112 %  |
|         2 |      2077 |   48202   140797   328546 |    83243     6525      9 |         121  -        4458 |  0.116 %  |
|         1 |      3216 |   48197   140779   328507 |    91568     7782     10 |         118  -        4589 |  0.126 %  |
|         3 |      4924 |   48187   140767   328481 |   100725     9553     12 |         185  -        4652 |  0.147 %  |
|         0 |      4924 |   48170   140693   328315 |   100723    10093     12 |         202  -        5205 |  0.182 %  |
|         3 |      7486 |   48168   140687   328303 |   110797    13059     13 |         221  -        5609 |  0.186 %  |
|         1 |      4924 |   48165   140687   328303 |   100725    11536     11 |         245  -        6647 |  0.193 %  |
|         0 |      7486 |   48165   140679   328286 |   110796    14058     13 |         226  -        6615 |  0.193 %  |
|         2 |      3216 |   48164   140676   328280 |    91568    11043     10 |         250  -        7865 |  0.195 %  |
|         1 |      7486 |   48161   140673   328274 |   110797    15521     13 |         250  -        8077 |  0.201 %  |
|         2 |      4924 |   48153   140655   328235 |   100725    14718     10 |         292  -        9855 |  0.218 %  |
|         0 |     11330 |   48141   140614   328149 |   121875    21522     13 |         330  -       10276 |  0.242 %  |
|         1 |     11330 |   48141   140614   328149 |   121877    22006     14 |         330  -       10757 |  0.242 %  |
|         3 |     11330 |   48141   140614   328149 |   121877    21896     13 |         330  -       10646 |  0.242 %  |
|         2 |      7486 |   48142   140617   328155 |   110797    19205     11 |         342  -       11794 |  0.240 %  |
|         1 |     17096 |   48093   140463   327810 |   134065    30087     15 |         428  -       13083 |  0.342 %  |
|         2 |     11330 |   48093   140457   327797 |   121877    25678     13 |         440  -       14434 |  0.342 %  |
|         0 |     17096 |   48093   140457   327797 |   134063    30526     14 |         385  -       13527 |  0.342 %  |
|         3 |     17096 |   48090   140449   327780 |   134065    33989     14 |         521  -       16992 |  0.348 %  |
|         2 |     17096 |   48072   140408   327692 |   134065    35015     14 |         514  -       18056 |  0.385 %  |
|         1 |     25745 |   48043   140302   327456 |   147471    44151     15 |         573  -       18580 |  0.446 %  |
|         0 |     25745 |   48043   140302   327456 |   147469    45137     15 |         613  -       19554 |  0.446 %  |
|         3 |     25745 |   47923   139893   326529 |   147471    48625     15 |         852  -       23135 |  0.694 %  |
|         2 |     25745 |   47922   139887   326517 |   147471    50528     14 |         891  -       25008 |  0.696 %  |
|         0 |     38719 |   47901   139815   326353 |   162216    64129     18 |         807  -       25633 |  0.740 %  |
|         1 |     38719 |   47901   139815   326353 |   162218    64888     17 |         807  -       26419 |  0.740 %  |
|         3 |     38719 |   47882   139749   326202 |   162218    68198     16 |         911  -       29736 |  0.779 %  |
|         2 |     38719 |   47882   139749   326202 |   162218    69247     16 |         949  -       30755 |  0.779 %  |
|         0 |     58180 |   47870   139720   326139 |   178438    94543     19 |        1154  -       36676 |  0.804 %  |
|         1 |     58180 |   47870   139714   326126 |   178440    94772     19 |        1109  -       36935 |  0.804 %  |
|         3 |     58180 |   47870   139714   326126 |   178440    96295     17 |        1104  -       38471 |  0.804 %  |
|         2 |     58180 |   47870   139714   326126 |   178440    98243     18 |        1106  -       40379 |  0.804 %  |
|         1 |     87372 |   47848   139640   325958 |   196284   133067     20 |        1113  -       46066 |  0.850 %  |
|         0 |     87372 |   47848   139640   325958 |   196281   135126     21 |        1168  -       48095 |  0.850 %  |
|         3 |     87372 |   47848   139640   325958 |   196284   136739     19 |        1118  -       49752 |  0.850 %  |
|         2 |     87372 |   47848   139640   325958 |   196284   138700     20 |        1116  -       51674 |  0.850 %  |
|         1 |    131161 |   47845   139630   325936 |   215913   189447     22 |        1113  -       58658 |  0.856 %  |
|         0 |    131161 |   47845   139630   325936 |   215910   192699     22 |        1187  -       61878 |  0.856 %  |
|         3 |    131161 |   47845   139630   325936 |   215913   193200     20 |        1137  -       62424 |  0.856 %  |
|         2 |    131161 |   47845   139630   325936 |   215913   193782     22 |        1135  -       62967 |  0.856 %  |
|         2 |    196845 |   47819   139546   325747 |   237504    96327     19 |        1208  -       87810 |  0.910 %  |
|         1 |    196845 |   47819   139546   325747 |   237504    98862     18 |        1205  -       86674 |  0.910 %  |
|         3 |    196845 |   47819   139546   325747 |   237504   102250     18 |        1202  -       91669 |  0.910 %  |
|         0 |    196845 |   47819   139546   325747 |   237501    97051     21 |        1302  -       89655 |  0.910 %  |
|         2 |    295371 |   47817   139540   325734 |   261254   218272     24 |        1208  -      111228 |  0.914 %  |
|         1 |    295371 |   47817   139540   325734 |   261254   219097     22 |        1214  -      108383 |  0.914 %  |
|         0 |    295371 |   47817   139540   325734 |   261251   215470     26 |        1311  -      109545 |  0.914 %  |
|         3 |    295371 |   47817   139540   325734 |   261254   222135     22 |        1213  -      113028 |  0.914 %  |
|         0 |    443160 |   47780   139409   325451 |   287376   174227     29 |        1342  -      152431 |  0.991 %  |
|         1 |    443160 |   47780   139409   325451 |   287380   181471     27 |        1363  -      155487 |  0.991 %  |
|         2 |    443160 |   47780   139409   325451 |   287380   181791     30 |        1326  -      161526 |  0.991 %  |
|         3 |    443160 |   47780   139409   325451 |   287380   178868     30 |        1384  -      159752 |  0.991 %  |
|         2 |    664843 |   47754   139308   325232 |   316118   199627     27 |        1418  -      197909 |  1.044 %  |
|         0 |    664843 |   47754   139308   325232 |   316114   192640     29 |        1434  -      193966 |  1.044 %  |
|         1 |    664843 |   47754   139308   325232 |   316118   195448     29 |        1411  -      196561 |  1.044 %  |
|         3 |    664843 |   47753   139305   325226 |   316118   211877     31 |        1502  -      207842 |  1.046 %  |
|         2 |    997368 |   47753   139305   325226 |   347730   308230     23 |        1444  -      246420 |  1.047 %  |
|         1 |    997368 |   45780   131548   307893 |   347730   246658     35 |        3489  -      262147 |  5.135 %  |
|         0 |    997368 |   45780   131548   307893 |   347725   247721     40 |        3486  -      258955 |  5.135 %  |
|         3 |    997368 |   45780   131548   307893 |   347730   250560     37 |        1513  -      268507 |  5.135 %  |
|         2 |   1496156 |   45754   131474   307735 |   382503    83846     27 |        7503  -      327783 |  5.189 %  |
|         1 |   1496156 |   45754   131474   307735 |   382503   187031     33 |        7499  -      337090 |  5.189 %  |
|         0 |   1496156 |   4
