WARNING: for repeatability, setting FPU to use double precision
 -----------------------------------------------------------------------------------------------------------------------
|                                 manysat2.0    4 thread(s) on 8 core(s)                                                |
 -----------------------------------------------------------------------------------------------------------------------
 ===============================================[ Problem Statistics ]==================================================
|                                                                                                                       |
|  Number of cores:                 4                                                                                   |
|  Number of variables:          7502                                                                                   |
|  Number of clauses:           23237                                                                                   |
|  Parse time:                   0.02 s                                                                                 |
|                                                                                                                       |
 ==============================================[ Search Statistics ]====================================================
|   Thread  | Conflicts |          ORIGINAL         |          LEARNT          |  exported  / imported      |  Progress |
|    (id)   |           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |  (clauses by restart)      |           |
 =======================================================================================================================
|         0 |       100 |    6654    23237    63534 |     8520      221      4 |        1698  -         121 | 11.304 %  |
|         1 |       100 |    6654    23237    63534 |     8520      375      6 |        1698  -         275 | 11.304 %  |
|         3 |       100 |    6651    23237    63534 |     8520      357      5 |         849  -         258 | 11.344 %  |
|         2 |       100 |    6652    23237    63534 |     8520      377      5 |         849  -         278 | 11.330 %  |
|         0 |       250 |    6651    23237    63534 |     9372      584      6 |        1698  -         334 | 11.344 %  |
|         2 |       250 |    6651    23237    63534 |     9372      737      6 |         849  -         488 | 11.344 %  |
|         3 |       250 |    6651    23221    63498 |     9372      821      6 |         849  -         571 | 11.344 %  |
|         0 |       475 |    6651    23221    63498 |    10309     1032      9 |        1698  -         557 | 11.344 %  |
|         1 |       250 |    6651    23221    63498 |     9372      966      8 |        1698  -         716 | 11.344 %  |
|         3 |       475 |    6651    23221    63498 |    10309     1132      8 |         849  -         657 | 11.344 %  |
|         0 |       812 |    6650    23216    63486 |    11340     1571     10 |        1701  -         759 | 11.357 %  |
|         2 |       475 |    6651    23221    63498 |    10309     1435     13 |         852  -         961 | 11.344 %  |
|         3 |       812 |    6648    23210    63472 |    11340     1758     10 |         853  -         949 | 11.384 %  |
|         1 |       475 |    6650    23216    63486 |    10309     1681     12 |        1708  -        1206 | 11.357 %  |
|         2 |       812 |    6646    23201    63452 |    11340     2102     17 |         853  -        1296 | 11.410 %  |
|         1 |       812 |    6646    23201    63452 |    11340     2208     18 |        1708  -        1399 | 11.410 %  |
|         0 |      1318 |    6646    23201    63452 |    12474     2533     19 |        1708  -        1218 | 11.410 %  |
|         2 |      1318 |    6645    23198    63444 |    12474     2899     18 |        1710  -        1587 | 11.424 %  |
|         3 |      1318 |    6645    23198    63444 |    12474     2823     19 |        1712  -        1510 | 11.424 %  |
|         1 |      1318 |    6645    23198    63444 |    12474     2973     20 |        1708  -        1659 | 11.424 %  |
|         3 |      2077 |    6644    23196    63440 |    13721     4034     18 |        1713  -        1962 | 11.437 %  |
|         2 |      2077 |    6644    23196    63440 |    13721     4273     20 |        1711  -        2202 | 11.437 %  |
|         1 |      2077 |    6644    23196    63440 |    13721     4419     21 |        1708  -        2347 | 11.437 %  |
|         0 |      2077 |    6644    23196    63440 |    13721     4412     23 |        2566  -        2338 | 11.437 %  |
|         2 |      3216 |    6644    23196    63440 |    15094     6046     24 |        1711  -        2836 | 11.437 %  |
|         3 |      3216 |    6644    23196    63440 |    15094     5943     25 |        1713  -        2732 | 11.437 %  |
|         0 |      3216 |    6644    23196    63440 |    15094     6053     23 |        2566  -        2840 | 11.437 %  |
|         1 |      3216 |    6644    23196    63440 |    15094     6102     24 |        1708  -        2891 | 11.437 %  |
|         1 |      4924 |    6644    23196    63440 |    16603     8500     26 |        1708  -        3581 | 11.437 %  |
|         3 |      4924 |    6644    23196    63440 |    16603     8357     28 |        1713  -        3438 | 11.437 %  |
|         0 |      4924 |    6644    23196    63440 |    16603     8594     26 |        2566  -        3673 | 11.437 %  |
|         2 |      4924 |    6644    23196    63440 |    16603     8965     27 |        1711  -        4047 | 11.437 %  |
|         3 |      7486 |    6643    23190    63426 |    18263    11615     31 |        1713  -        4135 | 11.450 %  |
|         1 |      7486 |    6643    23190    63426 |    18263    12226     29 |        1714  -        4745 | 11.450 %  |
|         0 |      7486 |    6643    23190    63426 |    18263    12242     31 |        2572  -        4759 | 11.450 %  |
|         2 |      7486 |    6642    23187    63418 |    18263    12764     32 |        1717  -        5286 | 11.464 %  |
|         3 |     11330 |    6642    23187    63418 |    20090    16731     33 |        1718  -        5408 | 11.464 %  |
|         1 |     11330 |    6642    23187    63418 |    20090    17101     33 |        1719  -        5777 | 11.464 %  |
|         0 |     11330 |    6640    23174    63390 |    20090    17392     37 |        2579  -        6067 | 11.490 %  |
|         2 |     11330 |    6640    23174    63390 |    20090    18268     35 |        1719  -        6947 | 11.490 %  |
|         0 |     17096 |    6640    23174    63390 |    22099    13577     30 |        2579  -        7111 | 11.490 %  |
|         1 |     17096 |    6640    23174    63390 |    22099    13854     30 |        1721  -        7324 | 11.490 %  |
|         3 |     17096 |    6640    23174    63390 |    22099    13874     29 |        1718  -        7301 | 11.490 %  |
|         2 |     17096 |    6640    23174    63390 |    22099    14819     32 |        1719  -        8351 | 11.490 %  |
|         3 |     25745 |    6639    23171    63382 |    24309    12449     28 |        1723  -        8722 | 11.504 %  |
|         1 |     25745 |    6639    23171    63382 |    24309    12725     25 |        1721  -        9125 | 11.504 %  |
|         0 |     25745 |    6639    23171    63382 |    24309    12356     25 |        2584  -        9145 | 11.504 %  |
|         2 |     25745 |    6639    23171    63382 |    24309    14062     26 |        1724  -       10537 | 11.504 %  |
|         3 |     38719 |    6637    23159    63354 |    26740    14995     34 |        1729  -       11280 | 11.530 %  |
|         1 |     38719 |    6637    23159    63354 |    26740    15397     32 |        1726  -       11995 | 11.530 %  |
|         0 |     38719 |    6637    23159    63354 |    26740    15463     27 |        2590  -       12400 | 11.530 %  |
|         2 |     38719 |    6637    23159    63354 |    26740    16699     26 |        1725  -       12817 | 11.530 %  |
|         3 |     58180 |    6635    23154    63342 |    29414    23115     35 |        1730  -       13749 | 11.557 %  |
|         1 |     58180 |    6635    23154    63342 |    29414    24173     34 |        1727  -       15176 | 11.557 %  |
|         0 |     58180 |    6635    23154    63342 |    29414    24537     35 |        2591  -       15905 | 11.557 %  |
|         2 |     58180 |    6635    23154    63342 |    29414    25904     32 |        1725  -       16432 | 11.557 %  |
|         3 |     87372 |    6635    23154    63342 |    32355    26740     34 |        1730  -       18527 | 11.557 %  |
|         1 |     87372 |    6635    23154    63342 |    32355    26885     33 |        1727  -       19384 | 11.557 %  |
|         0 |     87372 |    6635    23154    63342 |    32355    27459     33 |        2591  -       20491 | 11.557 %  |
|         2 |     87372 |    6635    23154    63342 |    32355    29071     35 |        1725  -       21386 | 11.557 %  |
|         1 |    131161 |    6630    23135    63298 |    35591    25012     30 |        2606  -       24569 | 11.624 %  |
|         3 |    131161 |    6630    23135    63298 |    35591    26709     29 |        2602  -       25002 | 11.624 %  |
|         0 |    131161 |    6630    23135    63298 |    35591    27132     33 |        2606  -       26727 | 11.624 %  |
|         2 |    131161 |    6630    23135    63298 |    35591    28489     31 |        2608  -       27796 | 11.624 %  |
|         2 |    196845 |    6625    23112    63246 |    39150    26854     27 |        2618  -       34310 | 11.690 %  |
|         0 |    196845 |    6625    23112    63246 |    39150    26589     33 |        2616  -       34776 | 11.690 %  |
|         3 |    196845 |    6625    23112    63246 |    39150    27408     29 |        2608  -       33440 | 11.690 %  |
|         1 |    196845 |    6625    23112    63246 |    39150    26977     28 |        2610  -       34870 | 11.690 %  |
|         2 |    295371 |    6623    23106    63230 |    43065    32552     32 |        2631  -       43422 | 11.717 %  |
|         3 |    295371 |    6623    23106    63230 |    43065    34678     38 |        2618  -       43425 | 11.717 %  |
|         0 |    295371 |    6623    23106    63230 |    43065    34627     34 |        2619  -       45535 | 11.717 %  |
|         1 |    295371 |    6623    23106    63230 |    43065    35798     33 |        2623  -       46640 | 11.717 %  |
|         2 |    443160 |    6622    23103    63222 |    47371    40429     35 |        2631  -       58714 | 11.730 %  |
|         3 |    443160 |    6622    23103    63222 |    47371    40563     44 |        2632  -       56674 | 11.730 %  |
|         1 |    443160 |    6622    23103    63222 |    47371    40229     36 |        2637  -       58519 | 11.730 %  |
|         0 |    443160 |    6622    23103    63222 |    47371    40698     37 |        2633  -       58999 | 11.730 %  |
|         3 |    664843 |    6619    23092    63196 |    52108    36393     33 |        2637  -       75085 | 11.770 %  |
|         0 |    664843 |    6619    23092    63196 |    52108    37802     36 |        2635  -       78563 | 11.770 %  |
|         1 |    664843 |    6619    23092    63196 |    52108    38196     31 |        2644  -       78676 | 11.770 %  |
|         2 |    664843 |    6619    23092    63196 |    52108    36929     30 |        2638  -       79519 | 11.770 %  |
|         3 |    997368 |    6614    23074    63150 |    57319    44410     34 |        2659  -       98354 | 11.837 %  |
|         1 |    997368 |    6614    23074    63150 |    57319    45116     39 |        2658  -      101953 | 11.837 %  |
|         2 |    997368 |    6614    23074    63150 |    57319    42844     36 |        2660  -      100956 | 11.837 %  |
|         0 |    997368 |    6614    23074    63150 |    57319    45077     33 |        2661  -      101990 | 11.837 %  |
|         3 |   1496156 |    6613    23068    63136 |    63051    49938     35 |        2663  -      139978 | 11.850 %  |
|         1 |   1496156 |    6613    23068    63136 |    63051    52997     37 |        2662  -      140439 | 11.850 %  |
|         2 |   1496156 |    
