WARNING: for repeatability, setting FPU to use double precision
 -----------------------------------------------------------------------------------------------------------------------
|                                 manysat2.0    4 thread(s) on 8 core(s)                                                |
 -----------------------------------------------------------------------------------------------------------------------
 ===============================================[ Problem Statistics ]==================================================
|                                                                                                                       |
|  Number of cores:                 4                                                                                   |
|  Number of variables:          9528                                                                                   |
|  Number of clauses:           73369                                                                                   |
|  Parse time:                   0.04 s                                                                                 |
|                                                                                                                       |
 ==============================================[ Search Statistics ]====================================================
|   Thread  | Conflicts |          ORIGINAL         |          LEARNT          |  exported  / imported      |  Progress |
|    (id)   |           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |  (clauses by restart)      |           |
 =======================================================================================================================
|         1 |       100 |    9517    73369   286881 |    26901      264      3 |          12  -         164 |  0.115 %  |
|         0 |       100 |    9516    73369   286881 |    26901      347      3 |           0  -         248 |  0.126 %  |
|         3 |       100 |    9517    73369   286881 |    26901      430      3 |          12  -         329 |  0.115 %  |
|         2 |       100 |    9516    73369   286881 |    26901      512      3 |          25  -         413 |  0.126 %  |
|         1 |       250 |    9515    73369   286881 |    29592      837      4 |          37  -         587 |  0.136 %  |
|         3 |       250 |    9515    73369   286881 |    29592      962      4 |          24  -         712 |  0.136 %  |
|         2 |       250 |    9515    73369   286881 |    29592     1098      4 |          25  -         849 |  0.136 %  |
|         0 |       250 |    9515    73369   286881 |    29592     1152      4 |          25  -         903 |  0.136 %  |
|         1 |       475 |    9515    73369   286881 |    32551     1681      4 |          37  -        1205 |  0.136 %  |
|         3 |       475 |    9515    73369   286881 |    32551     1732      4 |          24  -        1257 |  0.136 %  |
|         2 |       475 |    9515    73369   286881 |    32551     2021      4 |          25  -        1547 |  0.136 %  |
|         0 |       475 |    9515    73369   286881 |    32551     2141      4 |          25  -        1667 |  0.136 %  |
|         1 |       812 |    9515    73369   286881 |    35806     2737      4 |          37  -        1924 |  0.136 %  |
|         3 |       812 |    9515    73369   286881 |    35806     3214      4 |          24  -        2402 |  0.136 %  |
|         2 |       812 |    9515    73369   286881 |    35806     3377      4 |          25  -        2566 |  0.136 %  |
|         0 |       812 |    9515    73369   286881 |    35806     3401      4 |          25  -        2590 |  0.136 %  |
|         1 |      1318 |    9515    73356   286844 |    39387     4689      4 |          37  -        3370 |  0.136 %  |
|         2 |      1318 |    9515    73356   286844 |    39387     5054      4 |          25  -        3737 |  0.136 %  |
|         3 |      1318 |    9515    73356   286844 |    39387     5083      4 |          24  -        3765 |  0.136 %  |
|         0 |      1318 |    9515    73356   286844 |    39387     5594      4 |          25  -        4276 |  0.136 %  |
|         1 |      2077 |    9515    73356   286844 |    43325     7291      5 |          37  -        5212 |  0.136 %  |
|         2 |      2077 |    9515    73356   286844 |    43325     7712      5 |          25  -        5636 |  0.136 %  |
|         3 |      2077 |    9515    73356   286844 |    43325     8146      5 |          24  -        6069 |  0.136 %  |
|         0 |      2077 |    9515    73356   286844 |    43325     8203      5 |          25  -        6126 |  0.136 %  |
|         1 |      3216 |    9515    73356   286844 |    47658    11204      5 |          37  -        7986 |  0.136 %  |
|         2 |      3216 |    9515    73356   286844 |    47658    11396      5 |          25  -        8181 |  0.136 %  |
|         0 |      3216 |    9515    73356   286844 |    47658    12383      5 |          25  -        9167 |  0.136 %  |
|         3 |      3216 |    9515    73356   286844 |    47658    12483      5 |          24  -        9267 |  0.136 %  |
|         2 |      4924 |    9515    73356   286844 |    52424    16776      5 |          25  -       11853 |  0.136 %  |
|         1 |      4924 |    9515    73356   286844 |    52424    17462      5 |          37  -       12536 |  0.136 %  |
|         3 |      4924 |    9515    73356   286844 |    52424    18153      5 |          24  -       13229 |  0.136 %  |
|         0 |      4924 |    9515    73356   286844 |    52424    18345      5 |          25  -       13421 |  0.136 %  |
|         2 |      7486 |    9515    73356   286844 |    57666    25006      6 |          25  -       17521 |  0.136 %  |
|         1 |      7486 |    9515    73356   286844 |    57666    25544      6 |          37  -       18056 |  0.136 %  |
|         0 |      7486 |    9515    73356   286844 |    57666    26485      6 |          25  -       18999 |  0.136 %  |
|         3 |      7486 |    9515    73356   286844 |    57666    26514      6 |          24  -       19028 |  0.136 %  |
|         2 |     11330 |    9515    73356   286844 |    63433    36785      6 |          25  -       25456 |  0.136 %  |
|         1 |     11330 |    9515    73356   286844 |    63433    37388      6 |          37  -       26056 |  0.136 %  |
|         0 |     11330 |    9515    73356   286844 |    63433    38414      6 |          25  -       27084 |  0.136 %  |
|         3 |     11330 |    9515    73356   286844 |    63433    38572      6 |          24  -       27242 |  0.136 %  |
|         2 |     17096 |    9515    73356   286844 |    69776    53363      7 |          25  -       36268 |  0.136 %  |
|         1 |     17096 |    9515    73356   286844 |    69776    53736      7 |          37  -       36638 |  0.136 %  |
|         3 |     17096 |    9515    73356   286844 |    69776    54790      7 |          24  -       37694 |  0.136 %  |
|         0 |     17096 |    9515    73356   286844 |    69776    55357      7 |          25  -       38261 |  0.136 %  |
|         2 |     25745 |    9515    73356   286844 |    76754    40729      9 |          25  -       49997 |  0.136 %  |
|         1 |     25745 |    9515    73356   286844 |    76754    41853      9 |          37  -       51216 |  0.136 %  |
|         3 |     25745 |    9515    73356   286844 |    76754    42744      9 |          24  -       51915 |  0.136 %  |
|         0 |     25745 |    9515    73356   286844 |    76754    44992      8 |          25  -       54163 |  0.136 %  |
|         1 |     38719 |    9515    73356   286844 |    84429    73737     11 |          37  -       70126 |  0.136 %  |
|         2 |     38719 |    9515    73356   286844 |    84429    74447     12 |          25  -       70741 |  0.136 %  |
|         0 |     38719 |    9515    73356   286844 |    84429    75785     11 |          25  -       71982 |  0.136 %  |
|         3 |     38719 |    9515    73356   286844 |    84429    75870     12 |          24  -       72067 |  0.136 %  |
|         2 |     58180 |    9515    73356   286844 |    92872    76680     15 |          25  -       96636 |  0.136 %  |
|         0 |     58180 |    9515    73356   286844 |    92872    76521     16 |          25  -       97404 |  0.136 %  |
|         3 |     58180 |    9515    73356   286844 |    92872    77872     15 |          24  -       97986 |  0.136 %  |
|         1 |     58180 |    9515    73356   286844 |    92872    77047     17 |          37  -       97881 |  0.136 %  |
|         3 |     87372 |    9515    73356   286844 |   102160    94412     18 |          24  -      132178 |  0.136 %  |
|         2 |     87372 |    9515    73356   286844 |   102160    48124     16 |          25  -      132443 |  0.136 %  |
|         0 |     87372 |    9515    73356   286844 |   102160    46961     18 |          25  -      133890 |  0.136 %  |
|         1 |     87372 |    9515    73356   286844 |   102160    97193     18 |          37  -      135439 |  0.136 %  |
|         2 |    131161 |    9515    73356   286844 |   112376    95046     16 |          25  -      186961 |  0.136 %  |
|         0 |    131161 |    9515    73356   286844 |   112376    91088     15 |          25  -      187545 |  0.136 %  |
|         3 |    131161 |    9515    73356   286844 |   112376    83191     14 |          24  -      188047 |  0.136 %  |
|         1 |    131161 |    9515    73356   286844 |   112376    84795     17 |          37  -      189968 |  0.136 %  |
|         0 |    196845 |    9515    73356   286844 |   123613   108743     21 |          25  -      264629 |  0.136 %  |
|         2 |    196845 |    9515    73356   286844 |   123613    48043     20 |          25  -      264470 |  0.136 %  |
|         1 |    196845 |    9515    73356   286844 |   123613    98230     20 |          37  -      264423 |  0.136 %  |
|         3 |    196845 |    9515    73356   286844 |   123613   104213     25 |          24  -      269436 |  0.136 %  |
|         2 |    295371 |    9515    73356   286844 |   135975   102706     20 |          25  -      368824 |  0.136 %  |
|         0 |    295371 |    9515    73356   286844 |   135975    90268     22 |          25  -      374106 |  0.136 %  |
|         1 |    295371 |    9515    73356   286844 |   135975    87391     21 |          37  -      377116 |  0.136 %  |
|         3 |    295371 |    9515    73356   286844 |   135975   101679     19 |          24  -      387639 |  0.136 %  |
|         2 |    443160 |    9515    73356   286844 |   149572    90221     33 |          25  -      530977 |  0.136 %  |
|         0 |    443160 |    9515    73356   286844 |   149572    60492     28 |          25  -      538268 |  0.136 %  |
|         1 |    443160 |    9515    73356   286844 |   149572    54010     24 |          37  -      539534 |  0.136 %  |
|         3 |    443160 |    9515    73356   286844 |   149572    75334     27 |          24  -      551281 |  0.136 %  |
|         2 |    664843 |    9515    73356   286844 |   164529    73933     15 |          25  -      774884 |  0.136 %  |
|         1 |    664843 |    9515    73356   286844 |   164529   131527     20 |          37  -      775243 |  0.136 %  |
|         0 |    664843 |    9515    73356   286844 |   164529   133989     20 |          25  -      776157 |  0.136 %  |
|         3 |    664843 |    9515    73356   286844 |   164529   148425     21 |          24  -      789005 |  0.136 %  |
|         2 |    997368 |    9515    73356   286844 |   180982    90751     43 |          25  -     1114747 |  0.136 %  |
|         1 |    997368 |    9515    73356   286844 |   180982    96273     37 |          37  -     1114395 |  0.136 %  |
|         0 |    997368 |    9515    73356   286844 |   180982   115888     31 |          25  -     1119081 |  0.136 %  |
|         3 |    997368 |    9515    73356   286844 |   180982   122096     37 |          24  -     1132463 |  0.136 %  |
|         2 |   1496156 |    9515    73356   286844 |   199081   162201     23 |          25  -     1582012 |  0.136 %  |
|         0 |   1496156 |    9515    73356   286844 |   199081    73388     21 |          25  -     1592125 |  0.136 %  |
|         1 |   1496156 |    
