WARNING: for repeatability, setting FPU to use double precision
 -----------------------------------------------------------------------------------------------------------------------
|                                 manysat2.0    4 thread(s) on 8 core(s)                                                |
 -----------------------------------------------------------------------------------------------------------------------
 ===============================================[ Problem Statistics ]==================================================
|                                                                                                                       |
|  Number of cores:                 4                                                                                   |
|  Number of variables:          8806                                                                                   |
|  Number of clauses:           83608                                                                                   |
|  Parse time:                   0.04 s                                                                                 |
|                                                                                                                       |
 ==============================================[ Search Statistics ]====================================================
|   Thread  | Conflicts |          ORIGINAL         |          LEARNT          |  exported  / imported      |  Progress |
|    (id)   |           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |  (clauses by restart)      |           |
 =======================================================================================================================
|         2 |       100 |    8649    83452   303201 |    30656      155     11 |           0  -          55 |  1.783 %  |
|         0 |       100 |    8649    83452   303201 |    30599      185     11 |           0  -          85 |  1.783 %  |
|         1 |       100 |    8649    83452   303201 |    30656      208     11 |           0  -         108 |  1.783 %  |
|         3 |       100 |    8649    83452   303201 |    30656      254     11 |           0  -         154 |  1.783 %  |
|         2 |       250 |    8649    83452   303201 |    33721      374     12 |           0  -         124 |  1.783 %  |
|         0 |       250 |    8649    83452   303201 |    33658      409     13 |           0  -         159 |  1.783 %  |
|         1 |       250 |    8649    83452   303201 |    33721      452     12 |           0  -         202 |  1.783 %  |
|         3 |       250 |    8649    83452   303201 |    33721      479     13 |           0  -         229 |  1.783 %  |
|         2 |       475 |    8649    83452   303201 |    37094      667     12 |           0  -         192 |  1.783 %  |
|         0 |       475 |    8649    83452   303201 |    37024      760     14 |           0  -         285 |  1.783 %  |
|         3 |       475 |    8649    83452   303201 |    37094      783     14 |           0  -         308 |  1.783 %  |
|         1 |       475 |    8649    83452   303201 |    37094      793     13 |           0  -         318 |  1.783 %  |
|         2 |       812 |    8649    83452   303201 |    40803     1064     13 |           0  -         252 |  1.783 %  |
|         0 |       812 |    8649    83452   303201 |    40727     1239     14 |           0  -         427 |  1.783 %  |
|         3 |       812 |    8649    83452   303201 |    40803     1272     15 |           0  -         460 |  1.783 %  |
|         1 |       812 |    8649    83452   303201 |    40803     1291     14 |           0  -         479 |  1.783 %  |
|         2 |      1318 |    8649    83452   303201 |    44883     1684     13 |           0  -         366 |  1.783 %  |
|         0 |      1318 |    8649    83452   303201 |    44800     1965     14 |           0  -         647 |  1.783 %  |
|         1 |      1318 |    8649    83452   303201 |    44883     2003     14 |           0  -         685 |  1.783 %  |
|         3 |      1318 |    8649    83452   303201 |    44883     1983     15 |           0  -         665 |  1.783 %  |
|         2 |      2077 |    8649    83452   303201 |    49372     2612     13 |           0  -         535 |  1.783 %  |
|         0 |      2077 |    8649    83452   303201 |    49280     2950     14 |           0  -         873 |  1.783 %  |
|         1 |      2077 |    8649    83452   303201 |    49372     2982     14 |           0  -         905 |  1.783 %  |
|         3 |      2077 |    8649    83452   303201 |    49372     2981     15 |           0  -         904 |  1.783 %  |
|         2 |      3216 |    8649    83452   303201 |    54309     3980     13 |           0  -         764 |  1.783 %  |
|         0 |      3216 |    8649    83452   303201 |    54208     4377     15 |           0  -        1161 |  1.783 %  |
|         3 |      3216 |    8649    83452   303201 |    54309     4516     15 |           0  -        1300 |  1.783 %  |
|         1 |      3216 |    8649    83452   303201 |    54309     4492     14 |           0  -        1276 |  1.783 %  |
|         2 |      4924 |    8649    83452   303201 |    59740     5923     14 |           0  -         999 |  1.783 %  |
|         3 |      4924 |    8649    83452   303201 |    59740     6604     15 |           0  -        1680 |  1.783 %  |
|         0 |      4924 |    8649    83452   303201 |    59628     6479     15 |           0  -        1555 |  1.783 %  |
|         1 |      4924 |    8649    83452   303201 |    59740     6560     15 |           0  -        1636 |  1.783 %  |
|         2 |      7486 |    8649    83452   303201 |    65714     8978     14 |           0  -        1492 |  1.783 %  |
|         3 |      7486 |    8649    83452   303201 |    65714     9800     15 |           0  -        2314 |  1.783 %  |
|         1 |      7486 |    8649    83452   303201 |    65714     9763     15 |           0  -        2277 |  1.783 %  |
|         0 |      7486 |    8649    83452   303201 |    65591     9717     15 |           0  -        2231 |  1.783 %  |
|         2 |     11330 |    8649    83452   303201 |    72285    13818     15 |           0  -        2488 |  1.783 %  |
|         3 |     11330 |    8649    83452   303201 |    72285    14556     15 |           0  -        3226 |  1.783 %  |
|         0 |     11330 |    8649    83452   303201 |    72150    14402     15 |           0  -        3072 |  1.783 %  |
|         1 |     11330 |    8649    83452   303201 |    72285    14550     16 |           0  -        3220 |  1.783 %  |
|         2 |     17096 |    8649    83452   303201 |    79514    21347     15 |           0  -        4251 |  1.783 %  |
|         3 |     17096 |    8649    83452   303201 |    79514    21821     15 |           0  -        4725 |  1.783 %  |
|         0 |     17096 |    8649    83452   303201 |    79366    21955     15 |           0  -        4859 |  1.783 %  |
|         1 |     17096 |    8649    83452   303201 |    79514    21996     16 |           0  -        4900 |  1.783 %  |
|         2 |     25745 |    8649    83452   303201 |    87465    31902     14 |           0  -        6157 |  1.783 %  |
|         0 |     25745 |    8649    83452   303201 |    87302    33572     15 |           0  -        7827 |  1.783 %  |
|         1 |     25745 |    8649    83452   303201 |    87465    33833     16 |           0  -        8088 |  1.783 %  |
|         3 |     25745 |    8649    83452   303201 |    87465    33509     15 |           0  -        7764 |  1.783 %  |
|         2 |     38719 |    8649    83452   303201 |    96212    47673     14 |           0  -        8954 |  1.783 %  |
|         0 |     38719 |    8649    83452   303201 |    96032    50304     15 |           0  -       11585 |  1.783 %  |
|         3 |     38719 |    8649    83452   303201 |    96212    51176     14 |           0  -       12457 |  1.783 %  |
|         1 |     38719 |    8649    83452   303201 |    96212    52054     16 |           0  -       13335 |  1.783 %  |
|         2 |     58180 |    8649    83452   303201 |   105833    71301     13 |           0  -       13121 |  1.783 %  |
|         0 |     58180 |    8649    83452   303201 |   105636    75676     15 |           0  -       17496 |  1.783 %  |
|         3 |     58180 |    8649    83452   303201 |   105833    77459     14 |           0  -       19279 |  1.783 %  |
|         1 |     58180 |    8649    83452   303201 |   105833    80784     15 |           0  -       22604 |  1.783 %  |
|         2 |     87372 |    8649    83452   303201 |   116417    19051     10 |           0  -       21280 |  1.783 %  |
|         0 |     87372 |    8649    83452   303201 |   116199    43687     13 |           0  -       38003 |  1.783 %  |
|         1 |     87372 |    8649    83452   303201 |   116417    41068     11 |           0  -       38480 |  1.783 %  |
|         3 |     87372 |    8649    83452   303201 |   116417    50323     13 |           0  -       42682 |  1.783 %  |
|         2 |    131161 |    8649    83452   303201 |   128058    72703     12 |           0  -       31143 |  1.783 %  |
|         1 |    131161 |    8649    83452   303201 |   128058    98779     12 |           0  -       52402 |  1.783 %  |
|         3 |    131161 |    8649    83452   303201 |   128058   112499     14 |           0  -       61069 |  1.783 %  |
|         0 |    131161 |    8649    83452   303201 |   127819   111099     14 |           0  -       61626 |  1.783 %  |
|         2 |    196845 |    8649    83452   303201 |   140864    54688     15 |           0  -       57125 |  1.783 %  |
|         1 |    196845 |    8649    83452   303201 |   140864    88756     13 |           0  -       83747 |  1.783 %  |
|         3 |    196845 |    8649    83452   303201 |   140864    95917     12 |           0  -       87716 |  1.783 %  |
|         0 |    196845 |    8649    83452   303201 |   140601    93660     12 |           0  -       88576 |  1.783 %  |
|         2 |    295371 |    8649    83452   303201 |   154951    80025     12 |           0  -      105888 |  1.783 %  |
|         3 |    295371 |    8649    83452   303201 |   154951   120914     13 |           0  -      134149 |  1.783 %  |
|         1 |    295371 |    8649    83452   303201 |   154951   125766     13 |           0  -      141596 |  1.783 %  |
|         0 |    295371 |    8649    83452   303201 |   154662   119294     12 |           0  -      133317 |  1.783 %  |
|         2 |    443160 |    8649    83452   303201 |   170446   132820     16 |           0  -      148687 |  1.783 %  |
|         3 |    443160 |    8649    83452   303201 |   170446    25136     18 |           0  -      168425 |  1.783 %  |
|         1 |    443160 |    8649    83452   303201 |   170446    35962     13 |           0  -      171675 |  1.783 %  |
|         0 |    443160 |    8649    83452   303201 |   170128    25083     16 |           0  -      165463 |  1.783 %  |
|         2 |    664843 |    8649    83452   303201 |   187490   117039     12 |           0  -      212617 |  1.783 %  |
|         3 |    664843 |    8649    83452   303201 |   187490   162113     14 |           0  -      236281 |  1.783 %  |
|         1 |    664843 |    8649    83452   303201 |   187490    23404     14 |           0  -      242555 |  1.783 %  |
|         0 |    664843 |    8649    83452   303201 |   187141    25945     15 |           0  -      240434 |  1.783 %  |
|         3 |    997368 |    8649    83452   303201 |   206240    91619     15 |           0  -      339616 |  1.783 %  |
|         2 |    997368 |    8649    83452   303201 |   206240    68029     16 |           0  -      327140 |  1.783 %  |
|         1 |    997368 |    8649    83452   303201 |   206240   120511     15 |           0  -      343471 |  1.783 %  |
|         0 |    997368 |    8649    83452   303201 |   205855   107068     15 |           0  -      324617 |  1.783 %  |
|         3 |   1496156 |    8649    83452   303201 |   226864   130986     14 |           0  -      446502 |  1.783 %  |
|         2 |   1496156 |    8649    83452   303201 |   226864   183852     13 |           0  -      486265 |  1.783 %  |
|         0 |   1496156 |    
