WARNING: for repeatability, setting FPU to use double precision
 -----------------------------------------------------------------------------------------------------------------------
|                                 manysat2.0    4 thread(s) on 8 core(s)                                                |
 -----------------------------------------------------------------------------------------------------------------------
 ===============================================[ Problem Statistics ]==================================================
|                                                                                                                       |
|  Number of cores:                 4                                                                                   |
|  Number of variables:          2243                                                                                   |
|  Number of clauses:           29379                                                                                   |
|  Parse time:                   0.02 s                                                                                 |
|                                                                                                                       |
 ==============================================[ Search Statistics ]====================================================
|   Thread  | Conflicts |          ORIGINAL         |          LEARNT          |  exported  / imported      |  Progress |
|    (id)   |           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |  (clauses by restart)      |           |
 =======================================================================================================================
|         3 |       100 |    2171    29379   172691 |    10772      239     12 |           0  -         139 |  3.210 %  |
|         1 |       100 |    2171    29379   172691 |    10772      239      8 |           0  -         139 |  3.210 %  |
|         0 |       100 |    2171    29379   172691 |    10772      270     11 |           0  -         170 |  3.210 %  |
|         2 |       100 |    2171    29379   172691 |    10772      296     12 |           0  -         196 |  3.210 %  |
|         1 |       250 |    2171    29379   172691 |    11849      488     11 |           0  -         238 |  3.211 %  |
|         0 |       250 |    2171    29379   172691 |    11849      568     15 |           0  -         318 |  3.210 %  |
|         3 |       250 |    2171    29379   172691 |    11849      573     14 |           0  -         323 |  3.210 %  |
|         2 |       250 |    2171    29379   172691 |    11849      595     15 |           0  -         345 |  3.210 %  |
|         0 |       475 |    2171    29379   172691 |    13034      944     16 |           0  -         469 |  3.210 %  |
|         1 |       475 |    2171    29379   172691 |    13034      883     13 |           0  -         408 |  3.210 %  |
|         2 |       475 |    2171    29379   172691 |    13034     1010     17 |           0  -         535 |  3.210 %  |
|         3 |       475 |    2171    29379   172691 |    13034     1014     16 |           0  -         539 |  3.210 %  |
|         0 |       812 |    2171    29379   172691 |    14337     1536     16 |           0  -         724 |  3.211 %  |
|         1 |       812 |    2171    29379   172691 |    14337     1460     14 |           0  -         648 |  3.210 %  |
|         2 |       812 |    2171    29379   172691 |    14337     1600     17 |           0  -         788 |  3.210 %  |
|         3 |       812 |    2171    29379   172691 |    14337     1618     17 |           0  -         806 |  3.210 %  |
|         0 |      1318 |    2171    29379   172691 |    15771     2297     18 |           0  -         979 |  3.211 %  |
|         1 |      1318 |    2171    29379   172691 |    15771     2233     16 |           0  -         915 |  3.210 %  |
|         2 |      1318 |    2171    29379   172691 |    15771     2371     19 |           0  -        1053 |  3.210 %  |
|         3 |      1318 |    2171    29379   172691 |    15771     2327     18 |           0  -        1009 |  3.210 %  |
|         0 |      2077 |    2171    29379   172691 |    17348     3302     20 |           0  -        1225 |  3.210 %  |
|         1 |      2077 |    2171    29379   172691 |    17348     3248     18 |           0  -        1171 |  3.210 %  |
|         2 |      2077 |    2171    29379   172691 |    17348     3409     20 |           0  -        1332 |  3.210 %  |
|         3 |      2077 |    2171    29379   172691 |    17348     3384     20 |           0  -        1307 |  3.210 %  |
|         0 |      3216 |    2171    29379   172691 |    19083     4713     21 |           0  -        1497 |  3.210 %  |
|         1 |      3216 |    2171    29379   172691 |    19083     4640     20 |           0  -        1424 |  3.210 %  |
|         2 |      3216 |    2171    29379   172691 |    19083     4809     22 |           0  -        1593 |  3.210 %  |
|         3 |      3216 |    2171    29379   172691 |    19083     4781     21 |           0  -        1565 |  3.211 %  |
|         0 |      4924 |    2171    29379   172691 |    20992     6811     22 |           0  -        1887 |  3.210 %  |
|         1 |      4924 |    2171    29379   172691 |    20992     6681     21 |           0  -        1757 |  3.210 %  |
|         3 |      4924 |    2171    29379   172691 |    20992     6837     22 |           0  -        1913 |  3.210 %  |
|         2 |      4924 |    2171    29379   172691 |    20992     6917     22 |           0  -        1993 |  3.210 %  |
|         1 |      7486 |    2171    29379   172691 |    23091     9748     22 |           0  -        2262 |  3.210 %  |
|         3 |      7486 |    2171    29379   172691 |    23091     9887     22 |           0  -        2401 |  3.210 %  |
|         0 |      7486 |    2171    29379   172691 |    23091    10116     23 |           0  -        2630 |  3.210 %  |
|         2 |      7486 |    2171    29379   172691 |    23091    10179     23 |           0  -        2693 |  3.210 %  |
|         1 |     11330 |    2171    29379   172691 |    25400    14226     22 |           0  -        2896 |  3.210 %  |
|         3 |     11330 |    2171    29379   172691 |    25400    14555     22 |           0  -        3225 |  3.210 %  |
|         0 |     11330 |    2171    29379   172691 |    25400    14670     23 |           0  -        3340 |  3.210 %  |
|         2 |     11330 |    2171    29379   172691 |    25400    14689     23 |           0  -        3359 |  3.210 %  |
|         1 |     17096 |    2171    29379   172691 |    27940    20917     22 |           0  -        3821 |  3.210 %  |
|         0 |     17096 |    2171    29379   172691 |    27940    21323     22 |           0  -        4227 |  3.210 %  |
|         3 |     17096 |    2171    29379   172691 |    27940    21249     22 |           0  -        4153 |  3.210 %  |
|         2 |     17096 |    2170    29379   172691 |    27940    21315     23 |           0  -        4220 |  3.255 %  |
|         2 |     25745 |    2170    29343   172459 |    30734    16978     20 |           0  -        5243 |  3.255 %  |
|         0 |     25745 |    2170    29343   172459 |    30734    16876     20 |          73  -        5242 |  3.255 %  |
|         1 |     25745 |    2170    29343   172459 |    30734    16485     20 |          73  -        4904 |  3.255 %  |
|         3 |     25745 |    2170    29343   172459 |    30734    16872     20 |          73  -        5244 |  3.255 %  |
|         2 |     38719 |    2168    29300   172205 |    33808    15696     19 |          74  -        6431 |  3.344 %  |
|         0 |     38719 |    2168    29300   172205 |    33808    31077     21 |         149  -        6471 |  3.344 %  |
|         3 |     38719 |    2168    29300   172205 |    33808    30980     21 |         149  -        6381 |  3.344 %  |
|         1 |     38719 |    2168    29300   172205 |    33808    30630     21 |          75  -        6078 |  3.344 %  |
|         3 |     58180 |    2167    29293   172183 |    37188    33675     21 |         150  -        7964 |  3.388 %  |
|         2 |     58180 |    2167    29293   172183 |    37188    19273     19 |          74  -        8127 |  3.389 %  |
|         1 |     58180 |    2167    29293   172183 |    37188    33359     21 |          76  -        7843 |  3.389 %  |
|         0 |     58180 |    2167    29293   172183 |    37188    33681     20 |         150  -        8147 |  3.389 %  |
|         2 |     87372 |    2166    29257   171951 |    40907    30270     20 |          77  -       10066 |  3.433 %  |
|         3 |     87372 |    2166    29257   171951 |    40907    23976     19 |         153  -       10159 |  3.433 %  |
|         0 |     87372 |    2166    29257   171951 |    40907    24511     19 |         153  -       10239 |  3.434 %  |
|         1 |     87372 |    2166    29257   171951 |    40907    24164     19 |          76  -        9975 |  3.433 %  |
|         2 |    131161 |    2165    29250   171929 |    44998    27312     20 |         155  -       12968 |  3.478 %  |
|         3 |    131161 |    2165    29250   171929 |    44998    23201     19 |         153  -       13485 |  3.478 %  |
|         1 |    131161 |    2165    29250   171929 |    44998    22496     19 |         154  -       13202 |  3.478 %  |
|         0 |    131161 |    2165    29250   171929 |    44998    22882     19 |         231  -       13665 |  3.478 %  |
|         2 |    196845 |    2164    29214   171697 |    49498    41608     20 |         234  -       17485 |  3.522 %  |
|         1 |    196845 |    2164    29214   171697 |    49498    37183     20 |         233  -       17394 |  3.522 %  |
|         0 |    196845 |    2164    29214   171697 |    49498    36968     20 |         231  -       17962 |  3.522 %  |
|         3 |    196845 |    2164    29214   171697 |    49498    40509     20 |         232  -       18461 |  3.523 %  |
|         1 |    295371 |    2163    29207   171675 |    54448    41599     20 |         233  -       22444 |  3.567 %  |
|         2 |    295371 |    2163    29207   171675 |    54448    45303     20 |         237  -       22179 |  3.567 %  |
|         0 |    295371 |    2163    29207   171675 |    54448    42641     20 |         234  -       22984 |  3.567 %  |
|         3 |    295371 |    2163    29207   171675 |    54448    45969     21 |         235  -       23530 |  3.567 %  |
|         1 |    443160 |    2161    29135   171211 |    59893    48374     19 |         235  -       26651 |  3.656 %  |
|         0 |    443160 |    2161    29135   171211 |    59893    50270     20 |         236  -       27248 |  3.656 %  |
|         2 |    443160 |    2161    29135   171211 |    59893    53723     19 |         241  -       26552 |  3.656 %  |
|         3 |    443160 |    2161    29135   171211 |    59893    49604     20 |         239  -       27320 |  3.656 %  |
|         0 |    664843 |    2159    29121   171167 |    65882    23052     19 |         244  -       34659 |  3.745 %  |
|         1 |    664843 |    2159    29121   171167 |    65882    23893     18 |         243  -       34631 |  3.745 %  |
|         2 |    664843 |    2159    29121   171167 |    65882    23968     19 |         241  -       33779 |  3.745 %  |
|         3 |    664843 |    2159    29121   171167 |    65882    23479     18 |         247  -       35038 |  3.745 %  |
|         0 |    997368 |    2157    29078   170913 |    72470    26564     19 |         244  -       44271 |  3.834 %  |
|         2 |    997368 |    2158    29114   171145 |    72470    26936     17 |         246  -       43477 |  3.790 %  |
|         1 |    997368 |    2158    29114   171145 |    72470    25951     18 |         248  -       44549 |  3.790 %  |
|         3 |    997368 |    2158    29114   171145 |    72470    29053     17 |         252  -       45234 |  3.790 %  |
|         0 |   1496156 |    2155    29035   170659 |    79717    56099     21 |         244  -       65555 |  3.923 %  |
|         2 |   1496156 |    2155    29035   170659 |    79717    53641     21 |         248  -       63263 |  3.923 %  |
|         1 |   1496156 |    
