WARNING: for repeatability, setting FPU to use double precision
 -----------------------------------------------------------------------------------------------------------------------
|                                 manysat2.0    4 thread(s) on 8 core(s)                                                |
 -----------------------------------------------------------------------------------------------------------------------
 ===============================================[ Problem Statistics ]==================================================
|                                                                                                                       |
|  Number of cores:                 4                                                                                   |
|  Number of variables:          2309                                                                                   |
|  Number of clauses:           30825                                                                                   |
|  Parse time:                   0.02 s                                                                                 |
|                                                                                                                       |
 ==============================================[ Search Statistics ]====================================================
|   Thread  | Conflicts |          ORIGINAL         |          LEARNT          |  exported  / imported      |  Progress |
|    (id)   |           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |  (clauses by restart)      |           |
 =======================================================================================================================
|         3 |       100 |    2235    30825   182333 |    11302      223     14 |           0  -         123 |  3.205 %  |
|         1 |       100 |    2235    30825   182333 |    11302      219     12 |           0  -         119 |  3.205 %  |
|         2 |       100 |    2235    30825   182333 |    11302      218     10 |           0  -         118 |  3.205 %  |
|         0 |       100 |    2235    30825   182333 |    11302      260     15 |           0  -         160 |  3.205 %  |
|         3 |       250 |    2235    30825   182333 |    12432      489     17 |           0  -         239 |  3.205 %  |
|         1 |       250 |    2235    30825   182333 |    12432      477     15 |           0  -         227 |  3.205 %  |
|         0 |       250 |    2235    30825   182333 |    12432      578     16 |           0  -         328 |  3.205 %  |
|         2 |       250 |    2235    30825   182333 |    12432      555     13 |           0  -         305 |  3.205 %  |
|         3 |       475 |    2235    30825   182333 |    13676      934     17 |           0  -         459 |  3.205 %  |
|         1 |       475 |    2235    30825   182333 |    13676      863     15 |           0  -         388 |  3.205 %  |
|         2 |       475 |    2235    30825   182333 |    13676      974     14 |           0  -         499 |  3.205 %  |
|         0 |       475 |    2235    30825   182333 |    13676     1070     17 |           0  -         595 |  3.206 %  |
|         3 |       812 |    2235    30825   182333 |    15043     1548     17 |           0  -         736 |  3.205 %  |
|         1 |       812 |    2235    30825   182333 |    15043     1514     16 |           0  -         702 |  3.205 %  |
|         2 |       812 |    2235    30825   182333 |    15043     1530     15 |           0  -         718 |  3.206 %  |
|         0 |       812 |    2235    30825   182333 |    15043     1669     17 |           0  -         857 |  3.205 %  |
|         2 |      1318 |    2235    30825   182333 |    16547     2258     18 |           0  -         940 |  3.205 %  |
|         3 |      1318 |    2235    30825   182333 |    16547     2336     18 |           0  -        1018 |  3.205 %  |
|         1 |      1318 |    2235    30825   182333 |    16547     2281     17 |           0  -         963 |  3.205 %  |
|         0 |      1318 |    2235    30825   182333 |    16547     2478     17 |           0  -        1160 |  3.205 %  |
|         2 |      2077 |    2235    30825   182333 |    18202     3286     19 |           0  -        1209 |  3.205 %  |
|         3 |      2077 |    2235    30825   182333 |    18202     3395     20 |           0  -        1318 |  3.205 %  |
|         1 |      2077 |    2235    30825   182333 |    18202     3365     19 |           0  -        1288 |  3.205 %  |
|         0 |      2077 |    2235    30825   182333 |    18202     3524     19 |           0  -        1447 |  3.206 %  |
|         2 |      3216 |    2235    30825   182333 |    20023     4689     21 |           0  -        1473 |  3.205 %  |
|         3 |      3216 |    2235    30825   182333 |    20023     4805     22 |           0  -        1589 |  3.205 %  |
|         1 |      3216 |    2235    30825   182333 |    20023     4795     21 |           0  -        1579 |  3.205 %  |
|         0 |      3216 |    2235    30825   182333 |    20023     4905     21 |           0  -        1689 |  3.205 %  |
|         2 |      4924 |    2235    30825   182333 |    22025     6787     23 |           0  -        1863 |  3.205 %  |
|         3 |      4924 |    2235    30825   182333 |    22025     6815     23 |           0  -        1891 |  3.205 %  |
|         0 |      4924 |    2235    30825   182333 |    22025     6979     22 |           0  -        2055 |  3.205 %  |
|         1 |      4924 |    2235    30825   182333 |    22025     6936     22 |           0  -        2012 |  3.205 %  |
|         2 |      7486 |    2235    30825   182333 |    24227     9746     24 |           0  -        2260 |  3.205 %  |
|         3 |      7486 |    2235    30825   182333 |    24227     9750     24 |           0  -        2264 |  3.205 %  |
|         1 |      7486 |    2235    30825   182333 |    24227     9844     24 |           0  -        2358 |  3.205 %  |
|         0 |      7486 |    2235    30825   182333 |    24227     9929     24 |           0  -        2443 |  3.205 %  |
|         2 |     11330 |    2235    30825   182333 |    26650    14158     25 |           0  -        2828 |  3.205 %  |
|         1 |     11330 |    2235    30825   182333 |    26650    14160     25 |           0  -        2830 |  3.205 %  |
|         3 |     11330 |    2235    30825   182333 |    26650    14194     25 |           0  -        2864 |  3.205 %  |
|         0 |     11330 |    2235    30825   182333 |    26650    14435     24 |           0  -        3105 |  3.205 %  |
|         3 |     17096 |    2235    30825   182333 |    29315    20940     25 |           0  -        3844 |  3.205 %  |
|         2 |     17096 |    2235    30825   182333 |    29315    21304     25 |           0  -        4208 |  3.205 %  |
|         1 |     17096 |    2235    30825   182333 |    29315    21254     25 |           0  -        4158 |  3.205 %  |
|         0 |     17096 |    2235    30825   182333 |    29315    21407     24 |           0  -        4311 |  3.205 %  |
|         2 |     25745 |    2235    30825   182333 |    32247    16354     21 |           0  -        5321 |  3.205 %  |
|         3 |     25745 |    2235    30825   182333 |    32247    16308     22 |           0  -        5313 |  3.205 %  |
|         0 |     25745 |    2235    30825   182333 |    32247    16812     22 |           0  -        5815 |  3.205 %  |
|         1 |     25745 |    2235    30825   182333 |    32247    16759     22 |           0  -        5730 |  3.205 %  |
|         2 |     38719 |    2235    30825   182333 |    35472    30724     22 |           0  -        6717 |  3.205 %  |
|         1 |     38719 |    2235    30825   182333 |    35472    31140     22 |           0  -        7137 |  3.205 %  |
|         3 |     38719 |    2235    30825   182333 |    35472    30623     22 |           0  -        6654 |  3.205 %  |
|         0 |     38719 |    2235    30825   182333 |    35472    31250     22 |           0  -        7279 |  3.205 %  |
|         2 |     58180 |    2235    30825   182333 |    39019    29752     21 |           0  -        8104 |  3.205 %  |
|         3 |     58180 |    2235    30825   182333 |    39019    29499     21 |           0  -        7943 |  3.205 %  |
|         1 |     58180 |    2235    30825   182333 |    39019    29835     21 |           0  -        8443 |  3.205 %  |
|         0 |     58180 |    2235    30825   182333 |    39019    30207     21 |           0  -        8640 |  3.205 %  |
|         1 |     87372 |    2235    30825   182333 |    42921    36367     21 |           0  -        9902 |  3.205 %  |
|         3 |     87372 |    2235    30825   182333 |    42921    36551     21 |           0  -        9402 |  3.205 %  |
|         2 |     87372 |    2235    30825   182333 |    42921    36697     21 |           0  -        9712 |  3.205 %  |
|         0 |     87372 |    2235    30825   182333 |    42921    36832     21 |           0  -       10097 |  3.205 %  |
|         2 |    131161 |    2234    30789   182101 |    47213    28148     21 |          75  -       11885 |  3.248 %  |
|         1 |    131161 |    2234    30789   182101 |    47213    27469     20 |          75  -       12182 |  3.248 %  |
|         3 |    131161 |    2234    30789   182101 |    47213    27985     20 |           0  -       11611 |  3.248 %  |
|         0 |    131161 |    2234    30789   182101 |    47213    28604     20 |          75  -       12306 |  3.248 %  |
|         0 |    196845 |    2234    30789   182101 |    51934    35098     20 |          75  -       14755 |  3.248 %  |
|         3 |    196845 |    2234    30789   182101 |    51934    36350     19 |           0  -       14187 |  3.248 %  |
|         2 |    196845 |    2234    30789   182101 |    51934    34929     20 |          75  -       14819 |  3.248 %  |
|         1 |    196845 |    2234    30789   182101 |    51934    36422     20 |          75  -       15455 |  3.248 %  |
|         0 |    295371 |    2234    30789   182101 |    57128    31569     20 |          75  -       17483 |  3.248 %  |
|         2 |    295371 |    2234    30789   182101 |    57128    30909     20 |          75  -       18005 |  3.248 %  |
|         3 |    295371 |    2233    30753   181869 |    57128    34870     20 |          76  -       18779 |  3.292 %  |
|         1 |    295371 |    2233    30753   181869 |    57128    37247     20 |         151  -       20836 |  3.292 %  |
|         0 |    443160 |    2233    30753   181869 |    62840    25604     18 |          75  -       22395 |  3.292 %  |
|         2 |    443160 |    2233    30753   181869 |    62840    22921     20 |         151  -       22759 |  3.292 %  |
|         3 |    443160 |    2232    30717   181637 |    62840    31209     18 |         153  -       24376 |  3.335 %  |
|         1 |    443160 |    2232    30717   181637 |    62840    35374     19 |         228  -       26551 |  3.335 %  |
|         0 |    664843 |    2232    30717   181637 |    69125    31855     19 |         152  -       31295 |  3.335 %  |
|         2 |    664843 |    2232    30717   181637 |    69125    21363     18 |         151  -       30647 |  3.335 %  |
|         3 |    664843 |    2232    30717   181637 |    69125    37487     20 |         153  -       33214 |  3.335 %  |
|         1 |    664843 |    2232    30717   181637 |    69125    40547     20 |         228  -       35865 |  3.335 %  |
|         0 |    997368 |    2229    30699   181589 |    76037    18843     19 |         159  -       42703 |  3.465 %  |
|         2 |    997368 |    2229    30699   181589 |    76037    62642     20 |         156  -       42078 |  3.465 %  |
|         3 |    997368 |    2229    30699   181589 |    76037    20318     18 |         155  -       44446 |  3.465 %  |
|         1 |    997368 |    2229    30699   181589 |    76037    27918     18 |         241  -       48464 |  3.465 %  |
|         0 |   1496156 |    2227    30644   181255 |    83641    68861     21 |         159  -       62824 |  3.552 %  |
|         2 |   1496156 |    2227    30644   181255 |    83641    56774     21 |         162  -       62236 |  3.552 %  |
|         3 |   1496156 |    
