WARNING: for repeatability, setting FPU to use double precision
 -----------------------------------------------------------------------------------------------------------------------
|                                 manysat2.0    4 thread(s) on 8 core(s)                                                |
 -----------------------------------------------------------------------------------------------------------------------
 ===============================================[ Problem Statistics ]==================================================
|                                                                                                                       |
|  Number of cores:                 4                                                                                   |
|  Number of variables:          2262                                                                                   |
|  Number of clauses:           29659                                                                                   |
|  Parse time:                   0.03 s                                                                                 |
|                                                                                                                       |
 ==============================================[ Search Statistics ]====================================================
|   Thread  | Conflicts |          ORIGINAL         |          LEARNT          |  exported  / imported      |  Progress |
|    (id)   |           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |  (clauses by restart)      |           |
 =======================================================================================================================
|         0 |       100 |    2194    29659   174337 |    10874      184     19 |           0  -          84 |  3.006 %  |
|         3 |       100 |    2194    29659   174337 |    10874      186     19 |           0  -          85 |  3.006 %  |
|         2 |       100 |    2194    29659   174337 |    10874      240     13 |           0  -         139 |  3.006 %  |
|         1 |       100 |    2194    29659   174337 |    10874      250     10 |           0  -         150 |  3.006 %  |
|         3 |       250 |    2194    29659   174337 |    11962      525     16 |           0  -         273 |  3.006 %  |
|         0 |       250 |    2194    29659   174337 |    11962      571     15 |           0  -         321 |  3.007 %  |
|         2 |       250 |    2194    29659   174337 |    11962      545     13 |           0  -         294 |  3.006 %  |
|         1 |       250 |    2194    29659   174337 |    11962      613     11 |           0  -         363 |  3.006 %  |
|         0 |       475 |    2194    29659   174337 |    13158      983     15 |           0  -         508 |  3.006 %  |
|         3 |       475 |    2194    29659   174337 |    13158      972     15 |           0  -         495 |  3.006 %  |
|         2 |       475 |    2194    29659   174337 |    13158     1000     13 |           0  -         524 |  3.006 %  |
|         1 |       475 |    2194    29659   174337 |    13158     1074     12 |           0  -         599 |  3.006 %  |
|         3 |       812 |    2194    29659   174337 |    14474     1596     15 |           0  -         782 |  3.006 %  |
|         0 |       812 |    2194    29659   174337 |    14474     1597     15 |           0  -         785 |  3.007 %  |
|         2 |       812 |    2194    29659   174337 |    14474     1605     14 |           0  -         792 |  3.007 %  |
|         1 |       812 |    2194    29659   174337 |    14474     1634     13 |           0  -         822 |  3.006 %  |
|         3 |      1318 |    2194    29659   174337 |    15922     2302     17 |           0  -         982 |  3.006 %  |
|         2 |      1318 |    2194    29659   174337 |    15922     2302     16 |           0  -         983 |  3.006 %  |
|         0 |      1318 |    2194    29659   174337 |    15922     2338     17 |           0  -        1020 |  3.006 %  |
|         1 |      1318 |    2194    29659   174337 |    15922     2308     16 |           0  -         990 |  3.006 %  |
|         3 |      2077 |    2194    29659   174337 |    17514     3346     18 |           0  -        1267 |  3.006 %  |
|         0 |      2077 |    2194    29659   174337 |    17514     3367     18 |           0  -        1290 |  3.007 %  |
|         2 |      2077 |    2194    29659   174337 |    17514     3363     18 |           0  -        1285 |  3.006 %  |
|         1 |      2077 |    2194    29659   174337 |    17514     3358     17 |           0  -        1281 |  3.006 %  |
|         3 |      3216 |    2194    29659   174337 |    19265     4689     19 |           0  -        1471 |  3.006 %  |
|         0 |      3216 |    2194    29659   174337 |    19265     4717     20 |           0  -        1501 |  3.006 %  |
|         2 |      3216 |    2194    29659   174337 |    19265     4709     19 |           0  -        1492 |  3.006 %  |
|         1 |      3216 |    2194    29659   174337 |    19265     4710     20 |           0  -        1494 |  3.007 %  |
|         3 |      4924 |    2194    29659   174337 |    21192     6713     21 |           0  -        1787 |  3.007 %  |
|         0 |      4924 |    2194    29659   174337 |    21192     6757     21 |           0  -        1833 |  3.006 %  |
|         2 |      4924 |    2194    29659   174337 |    21192     6774     21 |           0  -        1849 |  3.006 %  |
|         1 |      4924 |    2194    29659   174337 |    21192     6779     20 |           0  -        1855 |  3.006 %  |
|         3 |      7486 |    2194    29659   174337 |    23311     9623     22 |           0  -        2135 |  3.007 %  |
|         2 |      7486 |    2194    29659   174337 |    23311     9699     22 |           0  -        2212 |  3.007 %  |
|         0 |      7486 |    2194    29659   174337 |    23311     9657     22 |           0  -        2171 |  3.006 %  |
|         1 |      7486 |    2194    29659   174337 |    23311     9664     21 |           0  -        2178 |  3.006 %  |
|         2 |     11330 |    2194    29659   174337 |    25642    13918     23 |           0  -        2587 |  3.006 %  |
|         3 |     11330 |    2194    29659   174337 |    25642    13880     23 |           0  -        2548 |  3.007 %  |
|         1 |     11330 |    2194    29659   174337 |    25642    13968     22 |           0  -        2638 |  3.006 %  |
|         0 |     11330 |    2194    29659   174337 |    25642    13970     23 |           0  -        2640 |  3.006 %  |
|         2 |     17096 |    2194    29659   174337 |    28206    20341     23 |           0  -        3244 |  3.006 %  |
|         1 |     17096 |    2194    29659   174337 |    28206    20437     23 |           0  -        3341 |  3.007 %  |
|         0 |     17096 |    2194    29659   174337 |    28206    20466     23 |           0  -        3370 |  3.006 %  |
|         3 |     17096 |    2194    29659   174337 |    28206    20138     23 |           0  -        3040 |  3.006 %  |
|         2 |     25745 |    2194    29659   174337 |    31027    15783     21 |           0  -        4197 |  3.006 %  |
|         1 |     25745 |    2194    29659   174337 |    31027    15814     21 |           0  -        4246 |  3.006 %  |
|         3 |     25745 |    2194    29659   174337 |    31027    14811     22 |           0  -        3760 |  3.007 %  |
|         0 |     25745 |    2194    29659   174337 |    31027    15999     21 |           0  -        4412 |  3.006 %  |
|         3 |     38719 |    2194    29659   174337 |    34130    29106     23 |           0  -        5081 |  3.006 %  |
|         1 |     38719 |    2194    29659   174337 |    34130    30191     22 |           0  -        5649 |  3.006 %  |
|         2 |     38719 |    2194    29659   174337 |    34130    30301     22 |           0  -        5741 |  3.006 %  |
|         0 |     38719 |    2194    29659   174337 |    34130    30580     23 |           0  -        6019 |  3.006 %  |
|         3 |     58180 |    2194    29659   174337 |    37543    30698     22 |           0  -        6976 |  3.006 %  |
|         1 |     58180 |    2194    29659   174337 |    37543    31904     22 |           0  -        7662 |  3.006 %  |
|         2 |     58180 |    2194    29659   174337 |    37543    32371     22 |           0  -        7871 |  3.006 %  |
|         0 |     58180 |    2194    29659   174337 |    37543    33495     22 |           0  -        8201 |  3.006 %  |
|         3 |     87372 |    2193    29623   174105 |    41297    19842     20 |           0  -        9275 |  3.051 %  |
|         1 |     87372 |    2193    29623   174105 |    41297    21748     20 |          69  -       10002 |  3.050 %  |
|         2 |     87372 |    2193    29623   174105 |    41297    21801     19 |          69  -       10152 |  3.051 %  |
|         0 |     87372 |    2193    29623   174105 |    41297    23181     19 |          69  -       10460 |  3.051 %  |
|         3 |    131161 |    2190    29573   173829 |    45427    19738     19 |          71  -       11795 |  3.183 %  |
|         1 |    131161 |    2190    29573   173829 |    45427    20671     20 |         143  -       12469 |  3.183 %  |
|         2 |    131161 |    2190    29573   173829 |    45427    21431     19 |          72  -       12819 |  3.183 %  |
|         0 |    131161 |    2189    29566   173807 |    45427    21414     20 |         143  -       12780 |  3.227 %  |
|         1 |    196845 |    2189    29566   173807 |    49970    35764     21 |         216  -       15706 |  3.227 %  |
|         3 |    196845 |    2189    29566   173807 |    49970    36093     21 |         144  -       15344 |  3.227 %  |
|         2 |    196845 |    2189    29566   173807 |    49970    37160     21 |         145  -       16092 |  3.227 %  |
|         0 |    196845 |    2189    29566   173807 |    49970    36673     21 |         143  -       15912 |  3.227 %  |
|         1 |    295371 |    2189    29566   173807 |    54967    40574     22 |         216  -       20021 |  3.227 %  |
|         0 |    295371 |    2189    29566   173807 |    54967    41418     22 |         143  -       20361 |  3.227 %  |
|         3 |    295371 |    2189    29566   173807 |    54967    47627     21 |         144  -       20390 |  3.227 %  |
|         2 |    295371 |    2189    29566   173807 |    54967    47218     21 |         145  -       21183 |  3.227 %  |
|         0 |    443160 |    2185    29451   173089 |    60463    54069     22 |         222  -       25844 |  3.404 %  |
|         1 |    443160 |    2185    29451   173089 |    60463    51419     22 |         218  -       25501 |  3.404 %  |
|         2 |    443160 |    2185    29451   173089 |    60463    21743     20 |         224  -       26654 |  3.404 %  |
|         3 |    443160 |    2185    29451   173089 |    60463    24044     22 |         221  -       26377 |  3.404 %  |
|         0 |    664843 |    2183    29379   172625 |    66510    30700     20 |         231  -       35210 |  3.493 %  |
|         1 |    664843 |    2183    29379   172625 |    66510    29229     20 |         225  -       35470 |  3.493 %  |
|         2 |    664843 |    2183    29379   172625 |    66510    45682     21 |         226  -       37308 |  3.493 %  |
|         3 |    664843 |    2183    29379   172625 |    66510    48485     21 |         230  -       37042 |  3.493 %  |
|         0 |    997368 |    2182    29343   172393 |    73161    38017     21 |         231  -       46248 |  3.537 %  |
|         1 |    997368 |    2182    29343   172393 |    73161    43666     21 |         232  -       47583 |  3.537 %  |
|         2 |    997368 |    2182    29343   172393 |    73161    24154     20 |         233  -       50800 |  3.537 %  |
|         3 |    997368 |    2182    29343   172393 |    73161    23963     20 |         237  -       49801 |  3.537 %  |
|         0 |   1496156 |    2180    29300   172139 |    80477    36052     19 |         234  -       68343 |  3.625 %  |
|         1 |   1496156 |    2180    29300   172139 |    80477    37060     20 |         232  -       69617 |  3.625 %  |
|         2 |   1496156 |    
