WARNING: for repeatability, setting FPU to use double precision
 -----------------------------------------------------------------------------------------------------------------------
|                                 manysat2.0    4 thread(s) on 8 core(s)                                                |
 -----------------------------------------------------------------------------------------------------------------------
 ===============================================[ Problem Statistics ]==================================================
|                                                                                                                       |
|  Number of cores:                 4                                                                                   |
|  Number of variables:          2331                                                                                   |
|  Number of clauses:           30952                                                                                   |
|  Parse time:                   0.02 s                                                                                 |
|                                                                                                                       |
 ==============================================[ Search Statistics ]====================================================
|   Thread  | Conflicts |          ORIGINAL         |          LEARNT          |  exported  / imported      |  Progress |
|    (id)   |           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |  (clauses by restart)      |           |
 =======================================================================================================================
|         1 |       100 |    2261    30952   182714 |    11349      186      9 |           0  -          86 |  3.003 %  |
|         2 |       100 |    2261    30952   182714 |    11349      269     11 |           0  -         169 |  3.003 %  |
|         0 |       100 |    2261    30952   182714 |    11349      305     13 |           0  -         205 |  3.003 %  |
|         3 |       100 |    2261    30952   182714 |    11349      336      9 |           0  -         236 |  3.003 %  |
|         1 |       250 |    2261    30952   182714 |    12483      472     13 |           0  -         222 |  3.003 %  |
|         2 |       250 |    2261    30952   182714 |    12483      554     13 |           0  -         304 |  3.004 %  |
|         0 |       250 |    2261    30952   182714 |    12483      732     13 |           0  -         482 |  3.003 %  |
|         3 |       250 |    2261    30952   182714 |    12483      715     11 |           0  -         465 |  3.004 %  |
|         1 |       475 |    2261    30952   182714 |    13732      890     14 |           0  -         415 |  3.003 %  |
|         2 |       475 |    2261    30952   182714 |    13732      977     14 |           0  -         502 |  3.003 %  |
|         0 |       475 |    2261    30952   182714 |    13732     1164     15 |           0  -         689 |  3.003 %  |
|         3 |       475 |    2261    30952   182714 |    13732     1155     13 |           0  -         680 |  3.003 %  |
|         1 |       812 |    2261    30952   182714 |    15105     1475     15 |           0  -         663 |  3.003 %  |
|         2 |       812 |    2261    30952   182714 |    15105     1577     15 |           0  -         765 |  3.003 %  |
|         0 |       812 |    2261    30952   182714 |    15105     1759     16 |           0  -         947 |  3.003 %  |
|         3 |       812 |    2261    30952   182714 |    15105     1708     15 |           0  -         896 |  3.003 %  |
|         1 |      1318 |    2261    30952   182714 |    16616     2274     17 |           0  -         956 |  3.003 %  |
|         2 |      1318 |    2261    30952   182714 |    16616     2357     16 |           0  -        1039 |  3.003 %  |
|         3 |      1318 |    2261    30952   182714 |    16616     2522     16 |           0  -        1204 |  3.003 %  |
|         0 |      1318 |    2261    30952   182714 |    16616     2609     17 |           0  -        1291 |  3.003 %  |
|         1 |      2077 |    2261    30952   182714 |    18277     3465     17 |           0  -        1388 |  3.003 %  |
|         2 |      2077 |    2261    30952   182714 |    18277     3532     17 |           0  -        1455 |  3.003 %  |
|         0 |      2077 |    2261    30952   182714 |    18277     3681     18 |           0  -        1604 |  3.003 %  |
|         3 |      2077 |    2261    30952   182714 |    18277     3608     17 |           0  -        1531 |  3.003 %  |
|         1 |      3216 |    2261    30952   182714 |    20105     4927     19 |           0  -        1711 |  3.003 %  |
|         3 |      3216 |    2261    30952   182714 |    20105     4963     19 |           0  -        1747 |  3.003 %  |
|         0 |      3216 |    2261    30952   182714 |    20105     5098     19 |           0  -        1882 |  3.004 %  |
|         2 |      3216 |    2261    30952   182714 |    20105     4994     19 |           0  -        1778 |  3.003 %  |
|         3 |      4924 |    2261    30952   182714 |    22116     7017     21 |           0  -        2093 |  3.003 %  |
|         0 |      4924 |    2261    30952   182714 |    22116     7148     21 |           0  -        2224 |  3.004 %  |
|         1 |      4924 |    2261    30952   182714 |    22116     6992     20 |           0  -        2068 |  3.003 %  |
|         2 |      4924 |    2261    30952   182714 |    22116     7083     20 |           0  -        2159 |  3.003 %  |
|         0 |      7486 |    2261    30952   182714 |    24327     9967     22 |           0  -        2481 |  3.004 %  |
|         1 |      7486 |    2261    30952   182714 |    24327     9943     21 |           0  -        2457 |  3.003 %  |
|         3 |      7486 |    2261    30952   182714 |    24327     9960     21 |           0  -        2474 |  3.003 %  |
|         2 |      7486 |    2261    30952   182714 |    24327    10027     21 |           0  -        2541 |  3.003 %  |
|         0 |     11330 |    2260    30945   182692 |    26760    14381     22 |           0  -        3052 |  3.046 %  |
|         1 |     11330 |    2260    30945   182692 |    26760    14437     22 |          71  -        3107 |  3.046 %  |
|         3 |     11330 |    2260    30945   182692 |    26760    14541     22 |          71  -        3211 |  3.046 %  |
|         2 |     11330 |    2260    30945   182692 |    26760    14615     22 |          71  -        3285 |  3.046 %  |
|         1 |     17096 |    2260    30945   182692 |    29436    21084     22 |          71  -        3988 |  3.046 %  |
|         0 |     17096 |    2260    30945   182692 |    29436    21086     22 |           0  -        3991 |  3.046 %  |
|         2 |     17096 |    2260    30945   182692 |    29436    21218     22 |          71  -        4122 |  3.046 %  |
|         3 |     17096 |    2260    30945   182692 |    29436    21214     22 |          71  -        4118 |  3.046 %  |
|         1 |     25745 |    2259    30938   182670 |    32380    15732     21 |         143  -        4968 |  3.089 %  |
|         2 |     25745 |    2259    30938   182670 |    32380    15776     21 |         143  -        5078 |  3.089 %  |
|         0 |     25745 |    2259    30938   182670 |    32380    15808     20 |          72  -        5027 |  3.089 %  |
|         3 |     25745 |    2259    30938   182670 |    32380    15819     21 |          71  -        5109 |  3.089 %  |
|         1 |     38719 |    2259    30938   182670 |    35618    29790     22 |         143  -        6052 |  3.089 %  |
|         2 |     38719 |    2259    30938   182670 |    35618    29859     22 |         143  -        6187 |  3.089 %  |
|         3 |     38719 |    2259    30938   182670 |    35618    29803     22 |          71  -        6119 |  3.089 %  |
|         0 |     38719 |    2259    30938   182670 |    35618    29915     22 |          72  -        6160 |  3.089 %  |
|         1 |     58180 |    2258    30931   182648 |    39180    29766     22 |         145  -        7597 |  3.132 %  |
|         3 |     58180 |    2258    30931   182648 |    39180    29677     22 |          73  -        7550 |  3.132 %  |
|         2 |     58180 |    2258    30931   182648 |    39180    30079     22 |         145  -        7720 |  3.132 %  |
|         0 |     58180 |    2258    30931   182648 |    39180    30131     22 |          72  -        7690 |  3.132 %  |
|         3 |     87372 |    2258    30931   182648 |    43098    38141     22 |          73  -        9701 |  3.132 %  |
|         1 |     87372 |    2258    30931   182648 |    43098    38000     22 |         145  -        9760 |  3.132 %  |
|         2 |     87372 |    2258    30931   182648 |    43098    38603     21 |         145  -       10001 |  3.132 %  |
|         0 |     87372 |    2258    30931   182648 |    43098    38755     22 |          72  -        9790 |  3.132 %  |
|         3 |    131161 |    2258    30931   182648 |    47407    32090     21 |          73  -       12745 |  3.132 %  |
|         1 |    131161 |    2258    30931   182648 |    47407    32583     20 |         145  -       12927 |  3.132 %  |
|         2 |    131161 |    2258    30931   182648 |    47407    33340     21 |         145  -       13064 |  3.132 %  |
|         0 |    131161 |    2258    30931   182648 |    47407    31453     21 |          72  -       12821 |  3.132 %  |
|         1 |    196845 |    2258    30931   182648 |    52148    43600     21 |         145  -       16998 |  3.132 %  |
|         3 |    196845 |    2258    30931   182648 |    52148    42991     21 |          73  -       16779 |  3.132 %  |
|         2 |    196845 |    2258    30931   182648 |    52148    43705     21 |         145  -       17040 |  3.132 %  |
|         0 |    196845 |    2258    30931   182648 |    52148    41102     21 |          72  -       16801 |  3.132 %  |
|         1 |    295371 |    2256    30859   182184 |    57363    45170     21 |         219  -       22936 |  3.218 %  |
|         3 |    295371 |    2256    30859   182184 |    57363    45470     21 |         222  -       22902 |  3.218 %  |
|         0 |    295371 |    2256    30859   182184 |    57363    43640     21 |         221  -       22836 |  3.218 %  |
|         2 |    295371 |    2256    30859   182184 |    57363    47816     21 |         220  -       23209 |  3.218 %  |
|         1 |    443160 |    2256    30859   182184 |    63099    50057     20 |         219  -       30107 |  3.218 %  |
|         3 |    443160 |    2256    30859   182184 |    63099    53782     21 |         222  -       30368 |  3.218 %  |
|         0 |    443160 |    2256    30859   182184 |    63099    49388     20 |         221  -       30355 |  3.218 %  |
|         2 |    443160 |    2256    30859   182184 |    63099    54400     21 |         220  -       30480 |  3.218 %  |
|         3 |    664843 |    2256    30859   182184 |    69409    21589     17 |         222  -       42571 |  3.218 %  |
|         1 |    664843 |    2256    30859   182184 |    69409    26224     18 |         219  -       44082 |  3.218 %  |
|         0 |    664843 |    2256    30859   182184 |    69409    23372     19 |         221  -       43712 |  3.218 %  |
|         2 |    664843 |    2256    30859   182184 |    69409    26294     19 |         220  -       44470 |  3.218 %  |
|         3 |    997368 |    2255    30823   181952 |    76350    25692     20 |         223  -       59575 |  3.260 %  |
|         0 |    997368 |    2255    30823   181952 |    76350    23280     19 |         222  -       59724 |  3.261 %  |
|         2 |    997368 |    2255    30823   181952 |    76350    29505     19 |         221  -       61517 |  3.261 %  |
|         1 |    997368 |    2255    30823   181952 |    76350    29040     19 |         219  -       61536 |  3.261 %  |
|         3 |   1496156 |    2254    30787   181720 |    83985    53436     20 |         224  -       83105 |  3.304 %  |
|         0 |   1496156 |    2254    30787   181720 |    83985    47968     20 |         223  -       82853 |  3.304 %  |
|         2 |   1496156 |    
