WARNING: for repeatability, setting FPU to use double precision
 -----------------------------------------------------------------------------------------------------------------------
|                                 manysat2.0    4 thread(s) on 8 core(s)                                                |
 -----------------------------------------------------------------------------------------------------------------------
 ===============================================[ Problem Statistics ]==================================================
|                                                                                                                       |
|  Number of cores:                 4                                                                                   |
|  Number of variables:         53752                                                                                   |
|  Number of clauses:          135726                                                                                   |
|  Parse time:                   0.06 s                                                                                 |
|                                                                                                                       |
 ==============================================[ Search Statistics ]====================================================
|   Thread  | Conflicts |          ORIGINAL         |          LEARNT          |  exported  / imported      |  Progress |
|    (id)   |           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |  (clauses by restart)      |           |
 =======================================================================================================================
|         2 |       100 |   48487   135118   314531 |    49766      251      6 |        4615  -         151 |  9.795 %  |
|         1 |       100 |   48487   135118   314531 |    49766      267      4 |        4002  -         167 |  9.795 %  |
|         0 |       100 |   48479   135118   314531 |    49543      304      4 |        1999  -         206 |  9.810 %  |
|         3 |       100 |   48462   135118   314531 |    49766      503      9 |        2015  -         405 |  9.841 %  |
|         1 |       250 |   48479   135118   314531 |    54742      649      6 |        4018  -         399 |  9.810 %  |
|         0 |       250 |   48462   135049   314378 |    54497      781      9 |        2003  -         536 |  9.841 %  |
|         2 |       250 |   48462   135118   314531 |    54742      903      7 |        4631  -         653 |  9.841 %  |
|         0 |       475 |   48462   135049   314378 |    59947     1059     12 |        2003  -         589 |  9.841 %  |
|         3 |       250 |   48462   135118   314531 |    54742     1012      9 |        2015  -         764 |  9.841 %  |
|         2 |       475 |   48462   135049   314378 |    60217     1339      9 |        4631  -         864 |  9.841 %  |
|         1 |       475 |   48462   135049   314378 |    60217     1375      8 |        4018  -         900 |  9.842 %  |
|         0 |       812 |   48462   135049   314378 |    65942     1852     14 |        2003  -        1045 |  9.841 %  |
|         2 |       812 |   48462   135049   314378 |    66238     1860     11 |        4631  -        1048 |  9.841 %  |
|         1 |       812 |   48462   135049   314378 |    66238     2085     10 |        4018  -        1273 |  9.841 %  |
|         3 |       475 |   48462   135049   314378 |    60217     2260      9 |        4014  -        1787 |  9.841 %  |
|         2 |      1318 |   48450   135016   314304 |    72862     2539     14 |        4631  -        1224 |  9.864 %  |
|         3 |       812 |   48458   135038   314354 |    66238     3249     10 |        4014  -        2440 |  9.849 %  |
|         1 |      1318 |   48458   135038   314354 |    72862     3367     10 |        6038  -        2049 |  9.849 %  |
|         2 |      2077 |   48446   135005   314280 |    80148     4176     13 |        4652  -        2102 |  9.871 %  |
|         0 |      1318 |   48458   135038   314354 |    72536     4177     10 |        4023  -        2864 |  9.849 %  |
|         1 |      2077 |   48458   135038   314354 |    80148     5135      9 |        6038  -        3058 |  9.849 %  |
|         2 |      3216 |   48446   135005   314280 |    88163     6580     14 |        4652  -        3367 |  9.871 %  |
|         3 |      1318 |   48442   134994   314256 |    72862     6034      9 |        4030  -        4721 |  9.879 %  |
|         0 |      2077 |   48442   134994   314256 |    79789     6363     12 |        4039  -        4293 |  9.879 %  |
|         3 |      2077 |   48429   134958   314176 |    80148     8011     10 |        4083  -        5939 |  9.903 %  |
|         0 |      3216 |   48429   134958   314176 |    87768     8679     14 |        4051  -        5471 |  9.903 %  |
|         1 |      3216 |   48429   134958   314176 |    88163     8422      9 |        6107  -        5208 |  9.903 %  |
|         3 |      3216 |   48429   134958   314176 |    88163     9485     15 |        4083  -        6274 |  9.903 %  |
|         2 |      4924 |   48429   134958   314176 |    96980    10957     13 |        4693  -        6040 |  9.903 %  |
|         0 |      4924 |   48429   134958   314176 |    96545    12591     15 |        4051  -        7675 |  9.903 %  |
|         3 |      4924 |   48429   134958   314176 |    96980    12897     15 |        4083  -        7978 |  9.903 %  |
|         1 |      4924 |   48428   134955   314170 |    96980    13060     10 |        6140  -        8138 |  9.905 %  |
|         2 |      7486 |   48428   134955   314170 |   106678    16108     15 |        4726  -        8629 |  9.905 %  |
|         0 |      7486 |   48428   134955   314170 |   106200    17481     21 |        4090  -       10003 |  9.905 %  |
|         3 |      7486 |   48426   134948   314156 |   106678    20122     15 |        6089  -       12642 |  9.908 %  |
|         1 |      7486 |   48425   134945   314150 |   106678    19298     21 |        6147  -       11817 |  9.910 %  |
|         2 |     11330 |   48426   134948   314156 |   117346    23916     16 |        6725  -       12595 |  9.908 %  |
|         0 |     11330 |   48425   134945   314150 |   116820    26256     21 |        6093  -       14934 |  9.910 %  |
|         3 |     11330 |   48424   134942   314144 |   117346    28136     18 |        6089  -       16815 |  9.912 %  |
|         1 |     11330 |   48423   134939   314138 |   117346    27858     19 |        6151  -       16534 |  9.914 %  |
|         2 |     17096 |   48422   134936   314132 |   129080    35251     18 |        6734  -       18167 |  9.916 %  |
|         3 |     17096 |   48422   134936   314132 |   129080    37493     22 |        6094  -       20408 |  9.916 %  |
|         0 |     17096 |   48422   134936   314132 |   128502    37017     22 |        6102  -       19932 |  9.916 %  |
|         1 |     17096 |   48415   134914   314086 |   129080    39663     20 |        6165  -       22580 |  9.929 %  |
|         3 |     25745 |   48409   134896   314050 |   141988    52498     24 |        6129  -       26775 |  9.940 %  |
|         0 |     25745 |   48407   134890   314038 |   141352    53562     25 |        6132  -       27841 |  9.944 %  |
|         2 |     25745 |   48404   134881   314020 |   141988    53546     20 |        6773  -       27829 |  9.949 %  |
|         1 |     25745 |   48402   134878   314014 |   141988    54719     22 |        6210  -       28996 |  9.953 %  |
|         0 |     38719 |   48394   134851   313960 |   155487    76345     27 |        6183  -       37678 |  9.968 %  |
|         3 |     38719 |   48394   134851   313960 |   156187    78125     25 |        6179  -       39457 |  9.968 %  |
|         1 |     38719 |   48392   134845   313948 |   156187    76637     26 |        6242  -       38029 |  9.972 %  |
|         2 |     38719 |   48388   134833   313924 |   156187    79618     25 |        6832  -       40956 |  9.979 %  |
|         0 |     58180 |   48372   134785   313828 |   171036   109965     32 | 
