WARNING: for repeatability, setting FPU to use double precision
 -----------------------------------------------------------------------------------------------------------------------
|                                 manysat2.0    4 thread(s) on 8 core(s)                                                |
 -----------------------------------------------------------------------------------------------------------------------
 ===============================================[ Problem Statistics ]==================================================
|                                                                                                                       |
|  Number of cores:                 4                                                                                   |
|  Number of variables:       1218546                                                                                   |
|  Number of clauses:         2112142                                                                                   |
|  Parse time:                   1.30 s                                                                                 |
|                                                                                                                       |
 ==============================================[ Search Statistics ]====================================================
|   Thread  | Conflicts |          ORIGINAL         |          LEARNT          |  exported  / imported      |  Progress |
|    (id)   |           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |  (clauses by restart)      |           |
 =======================================================================================================================
|         2 |       100 |  676961  1570549  3845139 |   774452      137      5 |        5997  -          39 | 44.445 %  |
|         1 |       100 |  676960  1570549  3845139 |   774452      373      4 |       11260  -         275 | 44.445 %  |
|         1 |       250 |  676960  1570543  3845127 |   851897      609      4 |       11260  -         362 | 44.445 %  |
|         2 |       250 |  676960  1570543  3845127 |   851897      818      4 |        5998  -         571 | 44.445 %  |
|         0 |       100 |  676960  1570543  3845127 |   575867      844      4 |        5997  -         748 | 44.445 %  |
|         3 |       100 |  676962  1570549  3845139 |   774452      968      4 |       13994  -         869 | 44.445 %  |
|         1 |       475 |  676960  1570543  3845127 |   937087      983      4 |       11260  -         511 | 44.445 %  |
|         0 |       250 |  676960  1570543  3845127 |   633454     1519      4 |        5997  -        1273 | 44.445 %  |
|         1 |       812 |  676960  1570543  3845127 |  1030795     1590      4 |       11260  -         781 | 44.445 %  |
|         3 |       250 |  676961  1570545  3845131 |   851897     1719      4 |       13994  -        1470 | 44.445 %  |
|         1 |      1318 |  676960  1570543  3845127 |  1133875     2532      4 |       11260  -        1217 | 44.445 %  |
|         3 |       475 |  676961  1570545  3845131 |   937087     2775      4 |       13994  -        2301 | 44.445 %  |
|         0 |       475 |  676960  1570543  3845127 |   696800     2792      4 |        5997  -        2321 | 44.445 %  |
|         2 |       475 |  676960  1570543  3845127 |   937087     3354      4 |        5998  -        2882 | 44.445 %  |
|         2 |       812 |  676960  1570543  3845127 |  1030795     3838      4 |        5998  -        3029 | 44.445 %  |
|         1 |      2077 |  676960  1570543  3845127 |  1247262     4141      4 |       11260  -        2067 | 44.445 %  |
|         2 |      1318 |  676960  1570543  3845127 |  1133875     4883      4 |        5998  -        3568 | 44.445 %  |
|         3 |       812 |  676961  1570545  3845131 |  1030795     5167      4 |       13994  -        4356 | 44.445 %  |
|         0 |       812 |  676960  1570543  3845127 |   766480     5380      3 |        5997  -        4572 | 44.445 %  |
|         3 |      1318 |  676961  1570545  3845131 |  1133875     6869      3 |       13994  -        5552 | 44.445 %  |
|         0 |      1318 |  676960  1570543  3845127 |   843128     7408      3 |        5997  -        6094 | 44.445 %  |
|         3 |      2077 |  676961  1570545  3845131 |  1247262     8241      3 |       13994  -        6165 | 44.445 %  |
|         2 |      2077 |  676960  1570543  3845127 |  1247262     8792      3 |        5998  -        6717 | 44.445 %  |
|         1 |      3216 |  676960  1570543  3845127 |  1371989     9437      3 |       11260  -        6224 | 44.445 %  |
|         0 |      2077 |  676960  1570543  3845127 |   927441    12429      3 |        5997  -       10351 | 44.445 %  |
|         2 |      3216 |  676960  1570543  3845127 |  1371989    12889      3 |        5998  -        9675 | 44.445 %  |
|         3 |      3216 |  676961  1570545  3845131 |  1371989    14412      3 |       13994  -       11196 | 44.445 %  |
|         2 |      4924 |  676960  1570543  3845127 |  1509187    15670      3 |        5998  -       10748 | 44.445 %  |
|         1 |      4924 |  676960  1570543  3845127 |  1509187    19286      3 |       11260  -       14365 | 44.445 %  |
|         0 |      3216 |  676960  1570543  3845127 |  1020185    19423      3 |        5997  -       16206 | 44.445 %  |
|         3 |      4924 |  676961  1570545  3845131 |  1509187    19857      3 |       13994  -       14933 | 44.445 %  |
|         3 |      7486 |  676961  1570545  3845131 |  1660106    24826      3 |       13994  -       17340 | 44.445 %  |
|         2 |      7486 |  676960  1570543  3845127 |  1660106    28147      3 |        5998  -       20663 | 44.445 %  |
|         1 |      7486 |  676960  1570543  3845127 |  1660106    28274      3 |       11260  -       20791 | 44.445 %  |
|         0 |      4924 |  676960  1570543  3845127 |  1122203    34232      3 |        5997  -       29307 | 44.445 %  |
|         3 |     11330 |  676961  1570545  3845131 |  1826117    37767      4 |       13994  -       26437 | 44.445 %  |
|         2 |     11330 |  676960  1570543  3845127 |  1826117    40931      4 |        5998  -       29603 | 44.445 %  |
|         0 |      7486 |  676960  1570543  3845127 |  1234424    42315      4 |        5997  -       34828 | 44.445 %  |
|         1 |     11330 |  676960  1570543  3845127 |  1826117    42702      4 |       11260  -       31375 | 44.445 %  |
|         0 |     11330 |  676960  1570543  3845127 |  1357866    57384      4 |        5997  -       46052 | 44.445 %  |
|         1 |     17096 |  676960  1570543  3845127 |  2008729    58833      4 |       11260  -       41740 | 44.445 %  |
|         0 |     17096 |  676960  1570543  3845127 |  1493653    68239      4 |        5997  -       51140 | 44.445 %  |
|         3 |     17096 |  676961  1570545  3845131 |  2008729    72220      4 |       13994  -       55123 | 44.445 %  |
|         2 |     17096 |  676960  1570543  3845127 |  2008729    86214      4 |        5998  -       69120 | 44.445 %  |
|         1 |     25745 |  676960  1570543  3845127 |  2209602    92044      4 |       11260  -       66300 | 44.445 %  |
|         0 |     25745 |  676960  1570543  3845127 |  1643018    96496      4 |        5997  -       70748 | 44.445 %  |
|         3 |     25745 |  676961  1570545  3845131 |  2209602    98773      4 |       13994  -       73026 | 44.445 %  |
|         2 |     25745 |  676960  1570543  3845127 |  2209602   123181      4 |        5998  -       97438 | 44.445 %  |
|         3 |     38719 |  676961  1570545  3845131 |  2430562   138393      4 |       13994  -       99670 | 44.445 %  |
|         1 |     38719 |  676960  1570543  3845127 |  2430562   143918      4 |       11260  -      105199 | 44.445 %  |
|         0 |     38719 |  676960  1570543  3845127 |  1807320   147437      4 |        5997  -      108714 | 44.445 %  |
|         2 |     38719 |  676960  1570543  3845127 |  2430562   175665      4 |        5998  -      136946 | 44.445 %  |
|         1 |     58180 |  676960  1570543  3845127 |  2673618   207263      4 | 
